,Software_Package,Alias,Identifier,File_Name,count
297,RADMC-3D,10.1051/0004-6361:20031768,1,apj_747_2_103.xml,1
298,RADMC-3D,10.1051/0004-6361:20031768,1,apj_753_2_153.xml,1
299,RADMC-3D,10.1051/0004-6361:20031768,1,apj_766_1_8.xml,1
300,RADMC-3D,10.1051/0004-6361:20031768,1,apj_804_2_143.xml,1
301,RADMC-3D,10.1051/0004-6361:20031768,1,apj_823_2_160.xml,1
302,RADMC-3D,10.1051/0004-6361:20031768,1,apj_823_2_79.xml,1
303,RADMC-3D,10.1051/0004-6361:20031768,1,apj_851_2_115.xml,1
304,RADMC-3D,10.1051/0004-6361:20031768,1,apjl_722_1_33.xml,1
305,RADMC-3D,10.1051/0004-6361:20031768,1,apjs_217_1_6.xml,1
306,RADMC-3D,10.1051/0004-6361:20040017,1,apj_717_2_693.xml,1
307,RADMC-3D,10.1051/0004-6361:20040017,1,apj_722_2_1556.xml,1
308,RADMC-3D,10.1051/0004-6361:20040017,1,apj_742_1_39.xml,1
309,RADMC-3D,10.1051/0004-6361:20040017,1,apj_744_2_118.xml,1
310,RADMC-3D,10.1051/0004-6361:20040017,1,apj_751_1_27.xml,1
311,RADMC-3D,10.1051/0004-6361:20040017,1,apj_796_2_141.xml,1
312,RADMC-3D,10.1051/0004-6361:20040017,1,apj_797_1_4.xml,1
313,RADMC-3D,10.1051/0004-6361:20040017,1,apj_798_1_11.xml,1
314,RADMC-3D,10.1051/0004-6361:20040017,1,apjs_196_2_22.xml,1
315,RADMC-3D,10.1051/0004-6361:20040017,1,apjs_220_1_14.xml,1
316,RADMC-3D,2004A&A...417..159D,1,apj_693_2_1290.xml,1
317,RADMC-3D,2004A&A...417..159D,1,apj_707_1_705.xml,1
318,RADMC-3D,2004A&A...417..159D,1,apj_721_2_995.xml,1
319,RADMC-3D,2004A&A...417..159D,1,apj_737_2_57.xml,1
320,RADMC-3D,2004A&A...417..159D,1,apj_740_2_118.xml,1
321,RADMC-3D,2004A&A...417..159D,1,apj_747_1_52.xml,1
322,RADMC-3D,2004A&A...417..159D,1,apj_747_2_103.xml,1
323,RADMC-3D,2004A&A...417..159D,1,apj_753_2_153.xml,1
324,RADMC-3D,2004A&A...417..159D,1,apj_766_1_8.xml,1
325,RADMC-3D,2004A&A...417..159D,1,apj_804_2_143.xml,1
326,RADMC-3D,2004A&A...417..159D,1,apj_823_2_160.xml,1
327,RADMC-3D,2004A&A...417..159D,1,apj_823_2_79.xml,1
328,RADMC-3D,2004A&A...417..159D,1,apj_851_2_115.xml,1
329,RADMC-3D,2004A&A...417..159D,1,apjl_722_1_33.xml,1
330,RADMC-3D,2004A&A...417..159D,1,apjs_217_1_6.xml,1
331,RADMC-3D,2004A&A...417..793P,1,apj_717_2_693.xml,1
332,RADMC-3D,2004A&A...417..793P,1,apj_722_2_1556.xml,1
333,RADMC-3D,2004A&A...417..793P,1,apj_742_1_39.xml,1
334,RADMC-3D,2004A&A...417..793P,1,apj_744_2_118.xml,1
335,RADMC-3D,2004A&A...417..793P,1,apj_751_1_27.xml,1
336,RADMC-3D,2004A&A...417..793P,1,apj_796_2_141.xml,1
337,RADMC-3D,2004A&A...417..793P,1,apj_797_1_4.xml,1
338,RADMC-3D,2004A&A...417..793P,1,apj_798_1_11.xml,1
339,RADMC-3D,2004A&A...417..793P,1,apjs_196_2_22.xml,1
340,RADMC-3D,2004A&A...417..793P,1,apjs_220_1_14.xml,1
341,RADMC-3D,2012ascl.soft02015D,1,apj_827_2_144.xml,1
342,RADMC-3D,RADMC-3D,0,aj_153_4_188.xml,2
343,RADMC-3D,RADMC-3D,0,aj_154_1_24.xml,3
344,RADMC-3D,RADMC-3D,0,aj_155_4_182.xml,1
345,RADMC-3D,RADMC-3D,0,apj_719_1_831.xml,4
346,RADMC-3D,RADMC-3D,0,apj_725_1_134.xml,2
347,RADMC-3D,RADMC-3D,0,apj_750_1_64.xml,5
348,RADMC-3D,RADMC-3D,0,apj_756_2_168.xml,2
349,RADMC-3D,RADMC-3D,0,apj_757_2_129.xml,1
350,RADMC-3D,RADMC-3D,0,apj_760_1_91.xml,2
351,RADMC-3D,RADMC-3D,0,apj_762_2_113.xml,1
352,RADMC-3D,RADMC-3D,0,apj_762_2_120.xml,1
353,RADMC-3D,RADMC-3D,0,apj_771_1_24.xml,1
354,RADMC-3D,RADMC-3D,0,apj_775_2_136.xml,2
355,RADMC-3D,RADMC-3D,0,apj_777_2_173.xml,2
356,RADMC-3D,RADMC-3D,0,apj_783_2_93.xml,1
357,RADMC-3D,RADMC-3D,0,apj_788_1_14.xml,2
358,RADMC-3D,RADMC-3D,0,apj_788_1_59.xml,2
359,RADMC-3D,RADMC-3D,0,apj_791_1_19.xml,3
360,RADMC-3D,RADMC-3D,0,apj_797_1_4.xml,1
361,RADMC-3D,RADMC-3D,0,apj_798_1_11.xml,1
362,RADMC-3D,RADMC-3D,0,apj_803_1_18.xml,9
363,RADMC-3D,RADMC-3D,0,apj_806_2_154.xml,2
364,RADMC-3D,RADMC-3D,0,apj_808_2_165.xml,2
365,RADMC-3D,RADMC-3D,0,apj_809_1_78.xml,5
366,RADMC-3D,RADMC-3D,0,apj_813_1_76.xml,1
367,RADMC-3D,RADMC-3D,0,apj_814_1_47.xml,1
368,RADMC-3D,RADMC-3D,0,apj_818_1_76.xml,3
369,RADMC-3D,RADMC-3D,0,apj_818_2_156.xml,1
370,RADMC-3D,RADMC-3D,0,apj_819_1_61.xml,1
371,RADMC-3D,RADMC-3D,0,apj_819_2_102.xml,1
372,RADMC-3D,RADMC-3D,0,apj_820_1_54.xml,2
373,RADMC-3D,RADMC-3D,0,apj_820_2_133.xml,1
374,RADMC-3D,RADMC-3D,0,apj_822_1_12.xml,1
375,RADMC-3D,RADMC-3D,0,apj_823_2_160.xml,4
376,RADMC-3D,RADMC-3D,0,apj_827_2_144.xml,1
377,RADMC-3D,RADMC-3D,0,apj_830_1_32.xml,2
378,RADMC-3D,RADMC-3D,0,apj_832_1_18.xml,2
379,RADMC-3D,RADMC-3D,0,apj_835_1_17.xml,1
380,RADMC-3D,RADMC-3D,0,apj_835_2_230.xml,1
381,RADMC-3D,RADMC-3D,0,apj_836_1_30.xml,2
382,RADMC-3D,RADMC-3D,0,apj_836_2_223.xml,2
383,RADMC-3D,RADMC-3D,0,apj_837_1_52.xml,1
384,RADMC-3D,RADMC-3D,0,apj_839_1_43.xml,1
385,RADMC-3D,RADMC-3D,0,apj_840_1_60.xml,4
386,RADMC-3D,RADMC-3D,0,apj_842_1_9.xml,1
387,RADMC-3D,RADMC-3D,0,apj_843_1_63.xml,1
388,RADMC-3D,RADMC-3D,0,apj_844_1_22.xml,2
